Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,9.0,Employed,Remote,100 to 499 employees,Fintech,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",9.0,4.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Very poor at handling complex tasks,"Yes, somewhat",65691.0,10.0
18-24 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,5.0,Employed,Remote,100 to 499 employees,Fintech,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,Not Specified,Very favorable,Bad at handling complex tasks,Not at all or minimally,14400.0,8.0
35-44 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,10.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",2.0,1.0,I'm not sure,I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works,Unfavorable,Bad at handling complex tasks,"No, but my development work has significantly changed due to non-AI factors",1099.0,7.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,6.0,Employed,In-person,"1,000 to 4,999 employees",Fintech,People manager,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,6.0
35-44 years old,Georgia,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",15.0,15.0,Employed,Remote,20 to 99 employees,Fintech,People manager,I have strongly considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,2.0,I'm not sure,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","No, but my development work has significantly changed due to non-AI factors",77987.0,9.0
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,3.0,Student,Remote,20 to 99 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,5.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works;I haven’t encountered any problems",Favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",77987.0,7.0
25-34 years old,Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,8.0,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Government,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,20.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Unfavorable,"Good, but not great at handling complex tasks","Yes, somewhat",77987.0,6.0
35-44 years old,Germany,"Associate degree (A.A., A.S., etc.)",20.0,20.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Fintech,People manager,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I didn't spend time learning in the past year",2.0,1.0,No,Other (write in):,Very unfavorable,Very poor at handling complex tasks,"No, but my development work has changed somewhat due to non-AI factors",77987.0,5.0
25-34 years old,United States of America,Some college/university study without earning a degree,7.0,11.0,Employed,Remote,100 to 499 employees,Fintech,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,10.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly;It’s hard to understand how or why the code works",Unfavorable,Bad at handling complex tasks,Not at all or minimally,87500.0,9.0
18-24 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,7.0,Employed,Remote,Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",6.0,5.0,No,I don’t use AI tools regularly,Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,77987.0,8.0
65 years or older,Lithuania,Some college/university study without earning a degree,40.0,47.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",1.0,1.0,No,Other (write in):,Very unfavorable,I don't use AI tools for complex tasks / I don't know,"No, but my development work has significantly changed due to non-AI factors",77987.0,9.0
55-64 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",37.0,41.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",108913.0,8.0
45-54 years old,Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26.0,30.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,2.0,No,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",162421.0,8.0
45-54 years old,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,36.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Banking/Financial Services,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,4.0,I'm not sure,I don’t use AI tools regularly,Indifferent,Bad at handling complex tasks,Not at all or minimally,209643.0,9.0
35-44 years old,Dominican Republic,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",13.0,13.0,"Independent contractor, freelancer, or self-employed",Remote,Less than 20 employees,Media & Advertising Services,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,No,Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works,Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",78000.0,10.0
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,15.0,Employed,Remote,500 to 999 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,6.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Favorable,Very poor at handling complex tasks,"Yes, to a great extent",205000.0,8.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,23.0,Employed,Remote,100 to 499 employees,Fintech,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","No, I didn't spend time learning in the past year",5.0,8.0,No,I don’t use AI tools regularly,Very unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,250000.0,8.0
45-54 years old,Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,29.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Banking/Financial Services,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",6.0,5.0,I'm not sure,Not Specified,Favorable,I don't use AI tools for complex tasks / I don't know,"No, but my development work has significantly changed due to non-AI factors",77987.0,7.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,26.0,Employed,"Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I didn't spend time learning in the past year",3.0,0.0,No,I don’t use AI tools regularly,Indifferent,Bad at handling complex tasks,Not at all or minimally,175000.0,8.0
35-44 years old,Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,25.0,Employed,In-person,Less than 20 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite",Very favorable,"Good, but not great at handling complex tasks",Not Specified,77987.0,8.0
25-34 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,10.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","1,000 to 4,999 employees",Higher Education,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,6.0,Yes,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",95132.0,6.0
25-34 years old,Italy,Some college/university study without earning a degree,10.0,15.0,"Independent contractor, freelancer, or self-employed",Remote,"10,000 or more employees",Government,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,Not at all or minimally,77987.0,7.0
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,25.0,Employed,In-person,"10,000 or more employees",Government,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I didn't spend time learning in the past year",20.0,20.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,109000.0,10.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,25.0,Employed,Remote,Less than 20 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,0.0,No,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",91215.0,6.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,8.0,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Media & Advertising Services,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",20.0,2.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Unfavorable,Bad at handling complex tasks,Not at all or minimally,150000.0,2.0
45-54 years old,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",33.0,38.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,Fintech,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,7.0,I'm not sure,Debugging AI-generated code is more time-consuming;Other (write in):,Favorable,Bad at handling complex tasks,Not at all or minimally,99999.0,8.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,25.0,Employed,Remote,Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",3.0,2.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Favorable,Bad at handling complex tasks,"Yes, to a great extent",270000.0,3.0
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,35.0,Employed,Remote,"10,000 or more employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,10.0,No,Other (write in):,Favorable,Very well at handling complex tasks,"Yes, somewhat",250000.0,8.0
25-34 years old,Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,14.0,Employed,Remote,100 to 499 employees,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,6.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,43810.0,3.0
25-34 years old,Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,6.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have neither consider or transitioned into a new career or industry,Not Specified,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,I'm not sure,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works,Indifferent,Bad at handling complex tasks,"Yes, somewhat",77987.0,6.0
45-54 years old,Hungary,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20.0,23.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly",Very unfavorable,Bad at handling complex tasks,Not at all or minimally,80966.0,8.0
35-44 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,15.0,Employed,Remote,"10,000 or more employees",Software Development,Individual contributor,I have transitioned into a new career and/or industry involuntarily,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,I'm not sure,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,10.0
25-34 years old,Malaysia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,9.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Manufacturing,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",2.0,2.0,No,"AI solutions that are almost right, but not quite",Indifferent,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,28275.0,5.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,21.0,Employed,Remote,20 to 99 employees,Fintech,People manager,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,142949.0,7.0
25-34 years old,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,12.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Higher Education,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,3.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,"Yes, somewhat",117793.0,8.0
35-44 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,19.0,Employed,"Hybrid (some remote, leans heavy to in-person)",Less than 20 employees,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,Yes,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",75410.0,6.0
35-44 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,18.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,20.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Bad at handling complex tasks,Not at all or minimally,81210.0,9.0
35-44 years old,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,25.0,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Software Development,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,15.0,No,Debugging AI-generated code is more time-consuming,Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",63909.0,10.0
35-44 years old,United States of America,Some college/university study without earning a degree,8.0,8.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Indifferent,Bad at handling complex tasks,Not at all or minimally,151000.0,7.0
18-24 years old,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,10.0,Employed,"Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",10.0,20.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,46406.0,9.0
35-44 years old,Sri Lanka,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,15.0,Employed,Remote,100 to 499 employees,Software Development,People manager,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,I’ve become less confident in my own problem-solving,Very favorable,Very well at handling complex tasks,"Yes, to a great extent",77987.0,7.0
18-24 years old,Poland,Some college/university study without earning a degree,4.0,12.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","10,000 or more employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,8.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;Other (write in):",Unfavorable,Very poor at handling complex tasks,"Yes, somewhat",62767.0,8.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,25.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",151117.0,8.0
35-44 years old,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,20.0,Employed,Remote,"1,000 to 4,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,5.0,Yes,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",67289.0,9.0
45-54 years old,Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,30.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,3.0,No,Debugging AI-generated code is more time-consuming,Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",197225.0,7.0
25-34 years old,Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,16.0,Employed,Remote,100 to 499 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,2.0,I'm not sure,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Favorable,Bad at handling complex tasks,Not at all or minimally,77987.0,6.0
